Epoch: 1
Iter:     60, Train Loss:   0.85, Train Acc:  65.23%, Val Loss:   0.91, Val Acc:  61.30%
Iter:     61, Train Loss:   0.91, Train Acc:  66.80%, Val Loss:   0.86, Val Acc:  66.90%
Iter:     62, Train Loss:   0.79, Train Acc:  68.75%, Val Loss:   0.96, Val Acc:  58.70%
Iter:     63, Train Loss:   0.91, Train Acc:  61.33%, Val Loss:   0.96, Val Acc:  59.07%
Iter:     64, Train Loss:   0.79, Train Acc:  68.75%, Val Loss:   0.79, Val Acc:  68.63%
Iter:     65, Train Loss:   0.83, Train Acc:  65.23%, Val Loss:   0.85, Val Acc:  64.87%
Iter:     66, Train Loss:   0.79, Train Acc:  66.02%, Val Loss:   0.79, Val Acc:  65.87%
Iter:     67, Train Loss:   0.83, Train Acc:  69.53%, Val Loss:    0.8, Val Acc:  68.20%
Iter:     68, Train Loss:   0.79, Train Acc:  70.70%, Val Loss:   0.79, Val Acc:  69.43%
Iter:     69, Train Loss:   0.72, Train Acc:  69.92%, Val Loss:   0.79, Val Acc:  67.13%
Iter:     70, Train Loss:   0.66, Train Acc:  74.61%, Val Loss:   0.73, Val Acc:  71.13%
Iter:     71, Train Loss:   0.66, Train Acc:  75.00%, Val Loss:    0.7, Val Acc:  72.70%
Iter:     72, Train Loss:   0.75, Train Acc:  65.62%, Val Loss:   0.68, Val Acc:  74.13%
Iter:     73, Train Loss:   0.59, Train Acc:  78.91%, Val Loss:   0.65, Val Acc:  75.20%
Iter:     74, Train Loss:    0.6, Train Acc:  78.12%, Val Loss:   0.66, Val Acc:  72.23%
Iter:     75, Train Loss:   0.68, Train Acc:  71.48%, Val Loss:   0.64, Val Acc:  73.10%
Iter:     76, Train Loss:   0.49, Train Acc:  78.12%, Val Loss:    0.6, Val Acc:  76.27%
Iter:     77, Train Loss:   0.55, Train Acc:  76.95%, Val Loss:   0.58, Val Acc:  78.53%
Iter:     78, Train Loss:   0.51, Train Acc:  78.12%, Val Loss:   0.58, Val Acc:  78.70%
Iter:     79, Train Loss:   0.46, Train Acc:  81.25%, Val Loss:   0.58, Val Acc:  77.57%
Iter:     80, Train Loss:   0.56, Train Acc:  76.56%, Val Loss:   0.56, Val Acc:  77.27%
Iter:     81, Train Loss:   0.51, Train Acc:  79.69%, Val Loss:   0.54, Val Acc:  78.50%
Iter:     82, Train Loss:   0.52, Train Acc:  79.30%, Val Loss:   0.55, Val Acc:  78.50%
Iter:     83, Train Loss:   0.41, Train Acc:  82.81%, Val Loss:   0.57, Val Acc:  78.10%
Iter:     84, Train Loss:   0.49, Train Acc:  84.38%, Val Loss:   0.54, Val Acc:  79.90%
Iter:     85, Train Loss:   0.62, Train Acc:  76.95%, Val Loss:   0.52, Val Acc:  80.03%
Iter:     86, Train Loss:   0.44, Train Acc:  83.59%, Val Loss:   0.55, Val Acc:  78.20%
Iter:     87, Train Loss:   0.43, Train Acc:  83.20%, Val Loss:   0.57, Val Acc:  78.67%
Iter:     88, Train Loss:   0.47, Train Acc:  81.64%, Val Loss:   0.57, Val Acc:  79.83%
Iter:     89, Train Loss:   0.44, Train Acc:  86.33%, Val Loss:   0.51, Val Acc:  81.60%
Iter:     90, Train Loss:   0.59, Train Acc:  78.91%, Val Loss:   0.53, Val Acc:  80.97%
Iter:     91, Train Loss:   0.44, Train Acc:  81.25%, Val Loss:   0.55, Val Acc:  80.00%
Iter:     92, Train Loss:   0.53, Train Acc:  78.52%, Val Loss:   0.52, Val Acc:  80.43%
Iter:     93, Train Loss:   0.59, Train Acc:  81.25%, Val Loss:   0.52, Val Acc:  80.40%
Iter:     94, Train Loss:   0.56, Train Acc:  82.42%, Val Loss:    0.5, Val Acc:  80.60%
Iter:     95, Train Loss:   0.44, Train Acc:  82.42%, Val Loss:   0.46, Val Acc:  82.20%
Iter:     96, Train Loss:   0.41, Train Acc:  85.55%, Val Loss:   0.46, Val Acc:  82.93%
Iter:     97, Train Loss:   0.43, Train Acc:  83.59%, Val Loss:   0.47, Val Acc:  83.60%
Iter:     98, Train Loss:   0.51, Train Acc:  81.25%, Val Loss:   0.47, Val Acc:  84.13%
Iter:     99, Train Loss:   0.47, Train Acc:  83.20%, Val Loss:   0.43, Val Acc:  85.03%
Iter:    100, Train Loss:   0.56, Train Acc:  80.08%, Val Loss:   0.42, Val Acc:  85.03%
Iter:    101, Train Loss:   0.38, Train Acc:  87.89%, Val Loss:   0.43, Val Acc:  84.80%
Iter:    102, Train Loss:   0.56, Train Acc:  82.42%, Val Loss:   0.43, Val Acc:  85.27%
Iter:    103, Train Loss:   0.39, Train Acc:  84.38%, Val Loss:    0.4, Val Acc:  86.20%
Iter:    104, Train Loss:   0.32, Train Acc:  89.06%, Val Loss:   0.41, Val Acc:  86.00%
Iter:    105, Train Loss:   0.38, Train Acc:  87.89%, Val Loss:   0.42, Val Acc:  85.47%
Iter:    106, Train Loss:   0.43, Train Acc:  82.81%, Val Loss:    0.4, Val Acc:  86.07%
Iter:    107, Train Loss:   0.26, Train Acc:  92.97%, Val Loss:    0.4, Val Acc:  85.43%
Iter:    108, Train Loss:   0.42, Train Acc:  83.20%, Val Loss:    0.4, Val Acc:  85.57%
Iter:    109, Train Loss:   0.41, Train Acc:  87.50%, Val Loss:    0.4, Val Acc:  86.37%
Iter:    110, Train Loss:   0.39, Train Acc:  89.84%, Val Loss:   0.42, Val Acc:  86.37%
Iter:    111, Train Loss:   0.31, Train Acc:  87.89%, Val Loss:   0.39, Val Acc:  86.73%
Iter:    112, Train Loss:   0.34, Train Acc:  89.06%, Val Loss:   0.39, Val Acc:  86.77%
Iter:    113, Train Loss:   0.43, Train Acc:  85.55%, Val Loss:   0.41, Val Acc:  86.17%
Iter:    114, Train Loss:   0.33, Train Acc:  89.45%, Val Loss:    0.4, Val Acc:  86.37%
Iter:    115, Train Loss:    0.3, Train Acc:  87.50%, Val Loss:    0.4, Val Acc:  85.87%
Iter:    116, Train Loss:   0.32, Train Acc:  91.41%, Val Loss:   0.39, Val Acc:  86.27%
Iter:    117, Train Loss:   0.37, Train Acc:  85.42%, Val Loss:   0.47, Val Acc:  80.80%
Epoch: 2
Iter:    118, Train Loss:   0.49, Train Acc:  82.81%, Val Loss:   0.43, Val Acc:  83.47%
